"","TNEV","Nev_2010","szervezet_2010","Nev_2006","szervezet_2006","jogalas","megye","kisterseg","terulet","lakonepesseg","lakasok_szama","roma_onkormanyzat","hatranyos","tipus"
"969","Hajdúböszörmény","Kiss Attila","Fidesz - Magyar Polgári Szövetség","Kiss Attila","HAJDÚBÖSZÖRMÉNYI POLGÁRI SZÖVETSÉG EGYESÜLET","város","Hajdú-Bihar","Hajdúböszörményi","37078",31620,"12419",1,"HH",1
"970","Hajdúdorog","Csige Tamás","MAGYAR SZOCIALISTA PÁRT","Csige Tamás","ÖSSZEFOGÁS HAJDÚDOROGÉRT EGYESÜLET","város","Hajdú-Bihar","Hajdúböszörményi","10065",8977,"3590",1,"HH",1
"971","Hajdúhadház","Csáfordi Dénes","Fidesz - Magyar Polgári Szövetség","Béres László","Független","város","Hajdú-Bihar","Hajdúhadházi","8780",12409,"4229",1,"LHH",1
"972","Hajdúnánás","Szólláth Tibor Zoltán","Fidesz - Magyar Polgári Szövetség","Éles András","Hajdúnánásért Tevékenykedők Független Egyesülete","város","Hajdú-Bihar","Hajdúböszörményi","25962",17112,"7080",1,"HH",1
"973","Hajdúsámson","Hamza Gábor","Független","Andó Lászlóné","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Hajdú-Bihar","Hajdúhadházi","6947",13122,"4257",1,"LHH",1
"974","Hajdúszoboszló","Sóvágó László","Összefogás Hajdúszoboszlóért és a Jövőért  Egyesület","Sóvágó László","Összefogás Hajdúszoboszlóért és a Jövőért Egyesület","város","Hajdú-Bihar","Hajdúszoboszlói","23870",23265,"10599",1,"HH",2
"975","Hajdúszovát","Vass Sándor","Független","Hadházi László","Független","község","Hajdú-Bihar","Hajdúszoboszlói","5801",3058,"1101",1,"HH",2
"976","Hajmás","Török Sándor","Független","Török Sándor","Független","község","Somogy","Kaposvári","1111",251,"85",1,"HH",1
"977","Hajmáskér","Köbli Miklós","Független","Köbli Miklós","Független","község","Veszprém","Veszprémi","3814",3104,"1298",1,NA,NA
"978","Hajós","Estók Mihályné Szalczer Erzsébet","Független","Schőn Ferenc","Független","város","Bács-Kiskun","Kalocsai","8992",3160,"1421",0,"HH",1
"979","Halastó","Balaskó Tibor József","Független","Kondora Lajos","Független","község","Vas","Körmendi","565",97,"73",0,NA,NA
"980","Halászi","Majthényi Tamás","Fidesz - Magyar Polgári Szövetség","Majthényi Tamás","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Győr-Moson-Sopron","Mosonmagyaróvári","3645",2939,"1066",0,NA,NA
"981","Halásztelek",NA,NA,"Szentgyörgyi József","MAGYAR SZOCIALISTA PÁRT","város","Pest","Ráckevei","864",9080,"3331",0,NA,NA
"982","Halimba","Tóbel János","Független","Tóbel János","Független","község","Veszprém","Ajkai","1262",1084,"436",0,NA,NA
"983","Halmaj","Tóth József","Független","Tóth József","Független","község","Borsod-Abaúj-Zemplén","Szikszói","1263",1891,"601",1,"LHHK",1
"984","Halmajugra","Somodi Tiborné","Független","Somodi Tiborné","Független","község","Heves","Gyöngyösi","2168",1250,"443",1,NA,NA
"985","Halogy","Horváth István","Független","Holecz Ferenc","Független","község","Vas","Körmendi","705",241,"145",1,NA,NA
"986","Hangács","Hajdú Zoltán","Független","Hajdú Zoltán","Független","község","Borsod-Abaúj-Zemplén","Edelényi","2253",577,"257",0,"LHHK",1
"987","Hangony","Hangonyi László","Fidesz - Magyar Polgári Szövetség","Hangonyi László","Független","község","Borsod-Abaúj-Zemplén","Ózdi","3914",1482,"617",1,"LHHK",1
"988","Hantos","Fischer József","Független","Virág József","Független","község","Fejér","Sárbogárdi","3696",909,"374",0,"HH",1
"989","Harasztifalu","Vámosné Marksz Mária Margit","Független","Vámosné Marksz Mária Margit","Független","község","Vas","Körmendi","789",145,"85",0,NA,NA
"990","Harc","Bóni Zoltán","Független","Bóni Zoltán","Független","község","Tolna","Szekszárdi","1586",901,"317",1,NA,NA
"991","Harka","Szabó Károly","Független","SZABÓ KÁROLY","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","1100",1801,"557",0,NA,NA
"992","Harkakötöny","Brassó Imre Albert","Kereszténydemokrata Néppárt","Győri Endre","Független","község","Bács-Kiskun","Kiskunhalasi","5270",940,"395",0,"HH",1
"993","Harkány","Imri Sándor","Független","Bédy István József","EGYSÉGBEN HARKÁNYÉRT","város","Baranya","Siklósi","2569",4052,"1814",1,"HH",1
"994","Háromfa","Brantmüller Zoltán Mihály","Független","Brantmüller Zoltán Mihály","Független","község","Somogy","Nagyatádi","4214",757,"332",1,"HH",1
"995","Háromhuta","Verbovszki Károly","Független","Verbovszki Károly","Független","község","Borsod-Abaúj-Zemplén","Sárospataki","3780",132,"91",0,"LHHK",1
"996","Harsány","Szabó Gergely","Független","Papp Dezső","Független","község","Borsod-Abaúj-Zemplén","Miskolci","3653",2019,"807",1,NA,NA
"997","Hárskút","Kiss Árpád","Független","Kiss Árpád","Független","község","Veszprém","Veszprémi","3446",652,"231",0,NA,NA
"998","Harta","András István","Független","András István","Független","nagyközség","Bács-Kiskun","Kalocsai","12968",3300,"1668",0,"HH",1
"999","Hásságy","Wilhelm Fülöp","Független","Wilhelm Fülöp","Független","község","Baranya","Mohácsi","800",251,"146",0,"HH",1
"1000","Hatvan","Szabó Zsolt","Fidesz - Magyar Polgári Szövetség","Érsek Zsolt","MAGYAR SZOCIALISTA PÁRT","város","Heves","Hatvani","6630",20332,"9019",1,NA,NA
"1001","Hédervár","Juhász József","Független","Juhász József","Független","község","Győr-Moson-Sopron","Mosonmagyaróvári","1428",1177,"456",0,NA,NA
"1002","Hedrehely","Farkas László","Független","Farkas László György","Független","község","Somogy","Kadarkúti","2551",415,"194",1,"LHHK",1
"1003","Hegyesd","Stark Sándor","Független","Stark Sándor","Független","község","Veszprém","Tapolcai","1105",151,"87",0,"HH",2
"1004","Hegyeshalom","Szőke László","Független","Szőke László","Független","nagyközség","Győr-Moson-Sopron","Mosonmagyaróvári","5266",3489,"1420",0,NA,NA
"1005","Hegyfalu","Kálmán József","Független","Kálmán József","Független","község","Vas","Sárvári","1189",773,"311",0,NA,NA
"1006","Hegyháthodász","Dervalics Roland","JOBBIK MAGYARORSZÁGÉRT MOZGALOM","Dervalics Roland","HATVANNÉGY VÁRMEGYE IFJÚSÁGI MOZGALOM","község","Vas","Körmendi","808",159,"97",0,NA,NA
"1007","Hegyhátmaróc","Varga Lívia","Független","Czinege Sándor","Független","község","Baranya","Komlói","759",135,"87",0,"HH",1
"1008","Hegyhátsál","Horváth Magdolna","Független","Molnár Lajos","Független","község","Vas","Körmendi","458",139,"84",0,NA,NA
"1009","Hegyhátszentjakab","Kránicz Ferenc","Független","Kránicz Ferenc","Független","község","Vas","Őriszentpéteri","947",269,"160",0,"HH",1
"1010","Hegyhátszentmárton","Pál László","Független","Pál László","Független","község","Vas","Őriszentpéteri","1274",58,"54",0,"HH",1
"1011","Hegyhátszentpéter","Bedicsné Szép Ilona","Fidesz - Magyar Polgári Szövetség","Kovács Endre","Független","község","Vas","Vasvári","684",127,"93",0,"HH",1
"1012","Hegykő","Szigethi István","Független","Szigethi István","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","2683",1385,"554",0,NA,NA
"1013","Hegymagas","Sallee Barbara","Független","Illés László","Független","község","Veszprém","Tapolcai","789",260,"154",0,"HH",2
"1014","Hegymeg","Varga Zoltánné","Fidesz - Magyar Polgári Szövetség","Komjáti Miklós","Független","község","Borsod-Abaúj-Zemplén","Edelényi","570",96,"57",0,"LHHK",1
"1015","Hegyszentmárton","Jakab Gézáné","Független","Jakab Gézáné","Független","község","Baranya","Sellyei","1878",414,"166",1,"LHHK",1
"1016","Héhalom","Szilágyi Albert","Független","Szilágyi Albert","Független","község","Nógrád","Pásztói","1867",953,"410",1,"HH",1
"1017","Hejce","Rohály Géza","Független","Rohály Géza","Független","község","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","953",267,"116",0,"LHHK",1
"1018","Hejőbába","Juhász Barnabás György","Független","Juhász Barnabás","Független","község","Borsod-Abaúj-Zemplén","Tiszaújvárosi","1872",1950,"552",1,NA,NA
"1019","Hejőkeresztúr","Demeterné Zeleni Enikő","Független","Demeterné Zeleni Enikő","Független","község","Borsod-Abaúj-Zemplén","Tiszaújvárosi","1028",984,"405",1,NA,NA
"1020","Hejőkürt","Varga Gyula","Független","Varga Gyula","Független","község","Borsod-Abaúj-Zemplén","Tiszaújvárosi","1491",322,"151",0,"HH",4
"1021","Hejőpapi","Kopcsó László Zoltán","Független","Kopcsó László Zoltán","Független","község","Borsod-Abaúj-Zemplén","Tiszaújvárosi","1702",1143,"428",1,"HH",4
"1022","Hejőszalonta",NA,NA,NA,NA,"község","Borsod-Abaúj-Zemplén","Tiszaújvárosi","1097",861,"244",1,"HH",4
"1023","Helesfa","Gondos Gyula","Független","Gondos Gyula","Független","község","Baranya","Szentlőrinci","987",517,"145",0,"HH",1
"1024","Helvécia","Magó István","Független","Magó István","Független","község","Bács-Kiskun","Kecskeméti","5647",4471,"1648",0,NA,NA
"1025","Hencida",NA,NA,"Fónyad László","Független","község","Hajdú-Bihar","Berettyóújfalui","3479",1260,"487",1,"LHHK",1
"1026","Hencse","Gelencsér János","Független","Gelencsér János","Független","község","Somogy","Kadarkúti","711",342,"167",1,"LHHK",1
"1027","Herceghalom","Erdősi László András","Fidesz - Magyar Polgári Szövetség","Schnaider László","Független","község","Pest","Budaörsi","734",2043,"813",0,NA,NA
"1028","Hercegkút","Rák József","Független","Rák József","Független","község","Borsod-Abaúj-Zemplén","Sárospataki","781",631,"259",0,"LHHK",1
"1029","Hercegszántó","Feigl József","Független","Feigl József","Független","község","Bács-Kiskun","Bajai","6855",1906,"1149",0,"HH",2
"1030","Heréd","Kómár József","Fidesz - Magyar Polgári Szövetség","Kómár József","Független","község","Heves","Hatvani","1396",2034,"784",0,NA,NA
"1031","Héreg","Nieszner József","Független","Dékán János","Független","község","Komárom-Esztergom","Tatabányai","2713",1022,"443",0,NA,NA
"1032","Herencsény","Jusztin Józsefné","Független","Jusztin Józsefné","Független","község","Nógrád","Balassagyarmati","3318",624,"299",1,"HH",2
"1033","Herend","Vajai László","Független","Vajai László","Független","város","Veszprém","Veszprémi","1956",3360,"1297",0,NA,NA
"1034","Heresznye","Kolics Gábor","Fidesz - Magyar Polgári Szövetség","Kolics Gábor","Független","község","Somogy","Barcsi","990",273,"158",1,"LHHK",1
"1035","Hermánszeg","Badar László","Fidesz - Magyar Polgári Szövetség","Badar László","Független","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","520",247,"141",0,"LHHK",1
"1036","Hernád","Zsírosné Pallaga Mária","Független","Zsadányi Lászlóné","Független","község","Pest","Dabasi","2706",4074,"1429",1,NA,NA
"1037","Hernádbűd","Takács László","Független","Dankó Sándor","Független","község","Borsod-Abaúj-Zemplén","Encsi","591",138,"80",0,"LHHK",1
"1038","Hernádcéce","Csató István","Független","Polyefkó István","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","995",192,"122",1,"LHHK",1
"1039","Hernádkak","Hajdu János","Független","Hajdu János","Független","község","Borsod-Abaúj-Zemplén","Miskolci","1090",1671,"486",1,NA,NA
"1040","Hernádkércs","Varga Vince","Független","Kiss Lajos Zoltán","Független","község","Borsod-Abaúj-Zemplén","Szikszói","742",260,"142",1,"LHHK",1
"1041","Hernádnémeti","Orosz Zsolt","Független","Orosz Zsolt","Független","község","Borsod-Abaúj-Zemplén","Miskolci","2876",3453,"1204",0,NA,NA
"1042","Hernádpetri","Urbán János","Független","Urbán János","Független","község","Borsod-Abaúj-Zemplén","Encsi","1711",254,"110",1,"LHHK",1
"1043","Hernádszentandrás",NA,NA,"Üveges Gábor","Független","község","Borsod-Abaúj-Zemplén","Encsi","704",465,"162",1,"LHHK",1
"1044","Hernádszurdok",NA,NA,"Varga Józsefné","Független","község","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","448",189,"97",1,"LHHK",1
"1045","Hernádvécse","Kovácsné Orosz Zsuzsanna","Független","Kovácsné Orosz Zsuzsanna","Független","község","Borsod-Abaúj-Zemplén","Encsi","1694",1001,"295",1,"LHHK",1
"1046","Hernyék",NA,NA,NA,NA,"község","Zala","Lenti","1031",120,"72",0,"HH",4
"1047","Hét","Bende György","Független","Bende György","Független","község","Borsod-Abaúj-Zemplén","Ózdi","371",494,"214",0,"LHHK",1
"1048","Hetefejércse","Kiss László","Független","Kiss László","Független","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","1545",299,"158",0,"LHHK",1
"1049","Hetes","Török Tiborné","Fidesz - Magyar Polgári Szövetség","Ádám László","SOMOGYÉRT EGYESÜLET","község","Somogy","Kaposvári","2663",1153,"392",0,"HH",1
"1050","Hetvehely","Wágner Antal József","Független","Wágner Antal József","Független","község","Baranya","Szentlőrinci","2138",420,"159",1,"HH",1
"1051","Hetyefő","Hosszuné Somogyi Mária","Független","Keszei Károly","Független","község","Veszprém","Sümegi","411",92,"50",0,"HH",1
"1052","Heves","Csáki Zsigmond","Független","Csáki Zsigmond","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Heves","Hevesi","9931",10533,"4182",1,"LHHK",1
"1053","Hevesaranyos","Dorkó Csaba","Független","Dorkó Csaba","Független","község","Heves","Bélapátfalvai","1702",608,"280",1,"HH",1
"1054","Hevesvezekény","Fenyves László","Független","Fenyves László","Független","község","Heves","Hevesi","1978",605,"313",0,"LHHK",1
"1055","Hévíz","Papp Gábor","Fidesz - Magyar Polgári Szövetség","Vértes Árpád","Független","város","Zala","Hévízi","831",4335,"3674",0,NA,NA
"1056","Hévízgyörk","Tóth Tibor","Független","Bobál István","ÖSSZEFOGÁS HÉVÍZGYÖRKÉRT EGYESÜLET","község","Pest","Aszódi","2285",3113,"1118",0,NA,NA
"1057","Hidas","Szelle Tibor","Független","Szelle Tibor","Független","község","Baranya","Pécsváradi","1906",2024,"822",1,NA,NA
"1058","Hidasnémeti",NA,NA,"Becse Csaba","Független","község","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","1611",1086,"445",1,"LHHK",1
"1059","Hidegkút","Pénzes Erzsébet","Független","Zsernoviczky Tibor","Független","község","Veszprém","Veszprémi","1358",442,"173",0,NA,NA
"1060","Hidegség","Kovács István","Független","Kovács István","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","1690",369,"158",0,NA,NA
"1061","Hidvégardó","Matusz Tamás","Független","Matusz Tamás","Független","község","Borsod-Abaúj-Zemplén","Edelényi","1699",545,"298",1,"LHHK",1
"1062","Himesháza","Pataki Péter","Független","Michelisz András","Független","község","Baranya","Mohácsi","1754",1065,"453",0,"HH",1
"1063","Himod","Módos Ferenc","Független","Pődör Péterné","Független","község","Győr-Moson-Sopron","Kapuvár-Beledi","2270",599,"395",0,NA,NA
"1064","Hirics",NA,NA,"Böde Lajos","Független","község","Baranya","Sellyei","1468",231,"78",1,"LHHK",1
"1065","Hobol","Joós Tibor","Független","Joós Tibor","Független","község","Baranya","Szigetvári","1827",966,"336",0,"LHHK",1
"1066","Hodász","Nagy János","Független","Nagy János","Független","nagyközség","Szabolcs-Szatmár-Bereg","Mátészalkai","2649",3303,"1136",1,"LHHK",1
"1067","Hódmezővásárhely","Lázár János","Fidesz - Magyar Polgári Szövetség","Lázár János","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","megyei jogú város","Csongrád","Hódmezővásárhelyi","48798",47019,"19704",1,"HH",1
"1068","Hollád","Mózes Marianna","Független","Mózes Marianna","Független","község","Somogy","Marcali","820",226,"163",1,"HH",1
"1069","Hollóháza","Koleszár Sándor","Független","Koleszár Sándor","Független","község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi","236",854,"433",0,"HH",1
"1070","Hollókő","Szabó Csaba","Fidesz - Magyar Polgári Szövetség","Szabó Csaba","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Nógrád","Szécsényi","518",360,"225",0,"LHH",1
"1071","Homokbödöge","Farkas Árpád Pál","Független","Némethi Kálmán","Független","község","Veszprém","Pápai","1615",671,"299",0,NA,NA
"1072","Homokkomárom","Bodó Tamás István","Független","Bodó Tamás István","Független","község","Zala","Nagykanizsai","1670",208,"77",0,NA,NA
"1073","Homokmégy",NA,NA,"Matos Attila","Független","község","Bács-Kiskun","Kalocsai","7032",1312,"760",1,"HH",1
"1074","Homokszentgyörgy","Czinke János","Független","Kulcsár Szilveszter","Független","község","Somogy","Barcsi","4964",1093,"499",1,"LHHK",1
"1075","Homorúd","Teszárik József","Független","Aranyos Tibor","Független","község","Baranya","Mohácsi","4473",598,"400",0,"HH",1
"1076","Homrogd","Juhász Imre","Független","Juhász Imre","Független","község","Borsod-Abaúj-Zemplén","Szikszói","1347",958,"327",1,"LHHK",1
"1077","Hont",NA,NA,NA,NA,"község","Nógrád","Balassagyarmati","2413",515,"313",0,"HH",2
"1078","Horpács","Molnár Zoltán Gábor","MAGYAR SZOCIALISTA PÁRT","Molnár Zoltán Gábor","MAGYAR SZOCIALISTA PÁRT","község","Nógrád","Rétsági","672",179,"92",0,"HH",2
"1079","Hort","Kerek Oszkár","Független","Kerek Oszkár","Független","község","Heves","Hatvani","4309",3692,"1607",0,NA,NA
"1080","Hortobágy","Vincze Andrásné","Független","Titi Éva","MAGYAR SZOCIALISTA PÁRT","község","Hajdú-Bihar","Balmazújvárosi","28458",1495,"654",0,"LHH",1
